"_raw","_time",host,source,sourcetype,index
"{""upTime"": 580574301, ""name"": ""AP03.raw"", ""ethernetMac"": ""83:3d:c6:24:23:1c"", ""adminStatus"": ""ENABLE"", ""unifiedApInfo"": {""capwapUpTime"": 36480101, ""poeStatus"": 5, ""telnetEnabled"": false, ""primaryMwar"": ""wlc01.raw2"", ""preStandardState"": 0, ""wlanProfiles"": {""wlanProfile"": [{""ssid"": ""Red Hat Guest"", ""profileName"": ""Red Hat Guest DIA"", ""broadcastSsidEnabled"": true}, {""ssid"": ""Red Hat"", ""profileName"": ""Red Hat"", ""broadcastSsidEnabled"": true}]}, ""vlanNativeId"": 199, ""apCertType"": 1, ""rogueDetectionEnabled"": true, ""apGroupName"": ""raw"", ""portNumber"": 13, ""iosVersion"": ""15.3(3)JD13$"", ""wlanVlanMappings"": {""wlanVlanMapping"": [{""ssid"": ""Red Hat"", ""vlanId"": 46, ""wlanId"": 1}, {""ssid"": ""Red Hat Guest"", ""vlanId"": 45, ""wlanId"": 20}]}, ""flexConnectMode"": false, ""apMode"": 2, ""encryptionEnabled"": false, ""vlanEnabled"": true, ""sshEnabled"": true, ""WIPSEnabled"": 0, ""poeStatusEnum"": ""EXTERNAL"", ""linkLatencyEnabled"": false, ""bootVersion"": ""15.2.4.0"", ""controllerIpAddress"": ""10.97.120.240"", ""powerInjectorState"": 1, ""apStaticEnabled"": 0, ""capwapJoinTakenTime"": 4500, ""statisticsTimer"": 180, ""contryCode"": ""BR"", ""controllerName"": ""wlc01.raw2""}, ""softwareVersion"": ""8.3.140.0"", ""mapLocation"": ""default location"", ""clientCount_5GHz"": 5, ""reachabilityStatus"": ""REACHABLE"", ""clientCount"": 5, ""@displayName"": ""485039619"", ""status"": ""CLEARED"", ""apType"": ""AP3700E"", ""type"": ""UnifiedAp"", ""clientCount_2_4GHz"": 0, ""serialNumber"": ""FGL2029X6B0"", ""@id"": ""485039619"", ""ipAddress"": ""10.96.78.215"", ""macAddress"": ""84:3d:c6:4f:1d:a0"", ""locationHeirarchy"": ""raw - Sao Paulo > Sao Paulo > 8th Floor"", ""model"": ""AIR-CAP3702E-Z-K9"", ""cdpNeighbors.cdpNeighbor.neighborName"":""TrialDevice1"" }","2019-01-17T06:24:23.100+0500",mipagent.globaldomain,rest://PRIME_AccessPointDetailsAPIDivided,PRIME_APDetails,raw_global
"{""upTime"": 580574301, ""name"": ""AP02.raw"", ""ethernetMac"": ""82:3d:c6:24:23:1c"", ""adminStatus"": ""ENABLE"", ""unifiedApInfo"": {""capwapUpTime"": 36480101, ""poeStatus"": 5, ""telnetEnabled"": false, ""primaryMwar"": ""wlc01.raw2"", ""preStandardState"": 0, ""wlanProfiles"": {""wlanProfile"": [{""ssid"": ""Red Hat Guest"", ""profileName"": ""Red Hat Guest DIA"", ""broadcastSsidEnabled"": true}, {""ssid"": ""Red Hat"", ""profileName"": ""Red Hat"", ""broadcastSsidEnabled"": true}]}, ""vlanNativeId"": 199, ""apCertType"": 1, ""rogueDetectionEnabled"": true, ""apGroupName"": ""raw"", ""portNumber"": 13, ""iosVersion"": ""15.3(3)JD13$"", ""wlanVlanMappings"": {""wlanVlanMapping"": [{""ssid"": ""Red Hat"", ""vlanId"": 46, ""wlanId"": 1}, {""ssid"": ""Red Hat Guest"", ""vlanId"": 45, ""wlanId"": 20}]}, ""flexConnectMode"": false, ""apMode"": 2, ""encryptionEnabled"": false, ""vlanEnabled"": true, ""sshEnabled"": true, ""WIPSEnabled"": 0, ""poeStatusEnum"": ""EXTERNAL"", ""linkLatencyEnabled"": false, ""bootVersion"": ""15.2.4.0"", ""controllerIpAddress"": ""10.97.120.240"", ""powerInjectorState"": 1, ""apStaticEnabled"": 0, ""capwapJoinTakenTime"": 4500, ""statisticsTimer"": 180, ""contryCode"": ""BR"", ""controllerName"": ""wlc01.raw2""}, ""softwareVersion"": ""8.3.140.0"", ""mapLocation"": ""default location"", ""clientCount_5GHz"": 5, ""reachabilityStatus"": ""REACHABLE"", ""clientCount"": 5, ""@displayName"": ""485039619"", ""status"": ""CLEARED"", ""apType"": ""AP3700E"", ""type"": ""UnifiedAp"", ""clientCount_2_4GHz"": 0, ""serialNumber"": ""FGL2029X6B0"", ""@id"": ""485039619"", ""ipAddress"": ""10.96.78.215"", ""macAddress"": ""84:3d:c6:4f:1d:a0"", ""locationHeirarchy"": ""raw - Sao Paulo > Sao Paulo > 8th Floor"", ""model"": ""AIR-CAP3702E-Z-K9"", ""cdpNeighbors.cdpNeighbor.neighborName"":""TrialDevice1"" }","2019-01-17T06:24:23.100+0500",mipagent.globaldomain,rest://PRIME_AccessPointDetailsAPIDivided,PRIME_APDetails,raw_global
"{""upTime"": 580574301, ""name"": ""AP01-01.site1"", ""ethernetMac"": ""84:3d:c6:24:23:1c"", ""adminStatus"": ""ENABLE"", ""unifiedApInfo"": {""capwapUpTime"": 36480101, ""poeStatus"": 5, ""telnetEnabled"": false, ""primaryMwar"": ""wlc01.raw2"", ""preStandardState"": 0, ""wlanProfiles"": {""wlanProfile"": [{""ssid"": ""Red Hat Guest"", ""profileName"": ""Red Hat Guest DIA"", ""broadcastSsidEnabled"": true}, {""ssid"": ""Red Hat"", ""profileName"": ""Red Hat"", ""broadcastSsidEnabled"": true}]}, ""vlanNativeId"": 199, ""apCertType"": 1, ""rogueDetectionEnabled"": true, ""apGroupName"": ""raw"", ""portNumber"": 13, ""iosVersion"": ""15.3(3)JD13$"", ""wlanVlanMappings"": {""wlanVlanMapping"": [{""ssid"": ""Red Hat"", ""vlanId"": 46, ""wlanId"": 1}, {""ssid"": ""Red Hat Guest"", ""vlanId"": 45, ""wlanId"": 20}]}, ""flexConnectMode"": false, ""apMode"": 2, ""encryptionEnabled"": false, ""vlanEnabled"": true, ""sshEnabled"": true, ""WIPSEnabled"": 0, ""poeStatusEnum"": ""EXTERNAL"", ""linkLatencyEnabled"": false, ""bootVersion"": ""15.2.4.0"", ""controllerIpAddress"": ""10.97.120.240"", ""powerInjectorState"": 1, ""apStaticEnabled"": 0, ""capwapJoinTakenTime"": 4500, ""statisticsTimer"": 180, ""contryCode"": ""BR"", ""controllerName"": ""wlc01.raw2""}, ""softwareVersion"": ""8.3.140.0"", ""mapLocation"": ""default location"", ""clientCount_5GHz"": 5, ""reachabilityStatus"": ""REACHABLE"", ""clientCount"": 5, ""@displayName"": ""485039619"", ""status"": ""CLEARED"", ""apType"": ""AP3700E"", ""type"": ""UnifiedAp"", ""clientCount_2_4GHz"": 0, ""serialNumber"": ""FGL2029X6B0"", ""@id"": ""485039619"", ""ipAddress"": ""10.96.78.215"", ""macAddress"": ""84:3d:c6:4f:1d:a0"", ""locationHeirarchy"": ""raw - Sao Paulo > Sao Paulo > 8th Floor"", ""model"": ""AIR-CAP3702E-Z-K9"", ""cdpNeighbors.cdpNeighbor.neighborName"":""TrialDevice1"" }","2019-01-17T06:24:23.100+0500",mipagent.globaldomain,rest://PRIME_AccessPointDetailsAPIDivided,PRIME_APDetails,raw_global

"{""category"": {""value"": ""AP"", ""ordinal"": 1}, ""deviceName"": ""f0:7f:06:27:bf:00:ap03.test"", ""source"": ""UnifiedAp!f0:7f:06:27:bf:00"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""AP_DISASSOCIATED"", ""ordinal"": -1}, ""alarmFoundAt"": 1545784948157, ""alarmId"": 2848670030, ""nttyaddrss7_address"": ""NULL_VALUE"", ""@id"": 2848670030, ""message"": ""AP 'ap03.test' disassociated."", ""acknowledgementStatus"": false, ""timeStamp"": 1545784948157, ""wirelessSpecificAlarmId"": ""f0:7f:06:27:bf:00"", ""lastUpdatedAt"": 1545784948157, ""@displayName"": ""2848670030""}","2019-01-17T06:27:00.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
UnifiedAp!f0:7f:06:27:bf:00",PRIME_Alarms,raw_global
"{""upTime"": ##upTime##, ""name"": ""AP01-01.site1"", ""ethernetMac"": ""84:3d:c6:24:23:1c"", ""adminStatus"": ""ENABLE"", ""unifiedApInfo"": {""capwapUpTime"": 36480101, ""poeStatus"": 5, ""telnetEnabled"": false, ""primaryMwar"": ""wlc01.raw2"", ""preStandardState"": 0, ""wlanProfiles"": {""wlanProfile"": [{""ssid"": ""Red Hat Guest"", ""profileName"": ""Red Hat Guest DIA"", ""broadcastSsidEnabled"": true}, {""ssid"": ""Red Hat"", ""profileName"": ""Red Hat"", ""broadcastSsidEnabled"": true}]}, ""vlanNativeId"": 199, ""apCertType"": 1, ""rogueDetectionEnabled"": true, ""apGroupName"": ""raw"", ""portNumber"": 13, ""iosVersion"": ""15.3(3)JD13$"", ""wlanVlanMappings"": {""wlanVlanMapping"": [{""ssid"": ""Red Hat"", ""vlanId"": 46, ""wlanId"": 1}, {""ssid"": ""Red Hat Guest"", ""vlanId"": 45, ""wlanId"": 20}]}, ""flexConnectMode"": false, ""apMode"": 2, ""encryptionEnabled"": false, ""vlanEnabled"": true, ""sshEnabled"": true, ""WIPSEnabled"": 0, ""poeStatusEnum"": ""EXTERNAL"", ""linkLatencyEnabled"": false, ""bootVersion"": ""15.2.4.0"", ""controllerIpAddress"": ""10.97.120.240"", ""powerInjectorState"": 1, ""apStaticEnabled"": 0, ""capwapJoinTakenTime"": 4500, ""statisticsTimer"": 180, ""contryCode"": ""BR"", ""controllerName"": ""wlc01.raw2""}, ""softwareVersion"": ""8.3.140.0"", ""mapLocation"": ""default location"", ""clientCount_5GHz"": 5, ""reachabilityStatus"": ""REACHABLE"", ""clientCount"": 5, ""@displayName"": ""485039619"", ""status"": ""CLEARED"", ""apType"": ""AP3700E"", ""type"": ""UnifiedAp"", ""clientCount_2_4GHz"": 0, ""serialNumber"": ""FGL2029X6B0"", ""@id"": ""485039619"", ""ipAddress"": ""10.96.78.215"", ""macAddress"": ""84:3d:c6:4f:1d:a0"", ""locationHeirarchy"": ""raw - Sao Paulo > Sao Paulo > 8th Floor"", ""model"": ""AIR-CAP3702E-Z-K9""}","2019-01-17T06:24:23.100+0500",mipagent.localdomain,rest://PRIME_AccessPointDetailsAPIDivided,PRIME_APDetails,raw_global
"{""category"": {""value"": ""AP"", ""ordinal"": 1}, ""deviceName"": ""40:01:7a:17:f6:20:AP1880.90fe.372c"", ""source"": ""UnifiedAp!40:01:7a:17:f6:20"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""AP_DISASSOCIATED"", ""ordinal"": -1}, ""alarmFoundAt"": 1546214984667, ""alarmId"": 2864154651, ""nttyaddrss7_address"": ""NULL_VALUE"", ""@id"": 2864154651, ""message"": ""AP 'AP1880.90fe.372c' disassociated."", ""acknowledgementStatus"": false, ""timeStamp"": 1546214984667, ""wirelessSpecificAlarmId"": ""40:01:7a:17:f6:20"", ""lastUpdatedAt"": 1546214984667, ""@displayName"": ""2864154651""}","2019-01-17T06:20:00.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
UnifiedAp!40:01:7a:17:f6:20",PRIME_Alarms,raw_global
"{""category"": {""value"": ""AP"", ""ordinal"": 1}, ""deviceName"": ""70:df:2f:b2:f6:20:AP11-09.rdu"", ""source"": ""UnifiedAp!70:df:2f:b2:f6:20"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""AP_DISASSOCIATED"", ""ordinal"": -1}, ""alarmFoundAt"": 1552694399000, ""alarmId"": 2848669846, ""nttyaddrss7_address"": ""NULL_VALUE"", ""@id"": 2848669846, ""message"": ""AP 'AP11-09.rdu' disassociated."", ""acknowledgementStatus"": false, ""timeStamp"": 1545784948157, ""wirelessSpecificAlarmId"": ""70:df:2f:b2:f6:20"", ""lastUpdatedAt"": 1545784948157, ""@displayName"": ""2848669846""}","2019-01-17T06:20:00.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
UnifiedAp!70:df:2f:b2:f6:20",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""00:a3:8e:b3:a6:10:AP03-5.sjc"", ""source"": ""UnifiedAp!00:a3:8e:b3:a6:10"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""AP_MAX_ROGUE_COUNT_EXCEEDED"", ""ordinal"": -1}, ""alarmFoundAt"": 1547144848516, ""alarmId"": 2900385062, ""nttyaddrss7_address"": "" 10. 11.220.240"", ""@id"": 2900385062, ""message"": ""Rogue AP count on AP 'AP03-5.sjc' associated with Controller '10.11.220.240' has exceeded the security warning threshold of '50'. Fake AP or other attack may be in progress. "", ""acknowledgementStatus"": false, ""timeStamp"": 1547144848516, ""wirelessSpecificAlarmId"": ""00:a3:8e:b3:a6:10"", ""lastUpdatedAt"": 1547717224157, ""@displayName"": ""2900385062""}","2019-01-17T06:10:00.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
UnifiedAp!00:a3:8e:b3:a6:10",PRIME_Alarms,raw_global
"{""category"": {""value"": ""Security"", ""ordinal"": 8}, ""deviceName"": ""00:f2:8b:ce:c5:50:AP02-3.iad"", ""source"": ""UnifiedAp!00:f2:8b:ce:c5:50"", ""severity"": ""CRITICAL"", ""condition"": {""value"": ""AP_MAX_ROGUE_COUNT_EXCEEDED"", ""ordinal"": -1}, ""alarmFoundAt"": 1546893323027, ""alarmId"": 2890079647, ""nttyaddrss7_address"": "" 10. 11.220.240"", ""@id"": 2890079647, ""message"": ""Rogue AP count on AP 'AP02-3.iad' associated with Controller '10.11.220.240' has exceeded the security warning threshold of '50'. Fake AP or other attack may be in progress. "", ""acknowledgementStatus"": false, ""timeStamp"": 1546893323027, ""wirelessSpecificAlarmId"": ""00:f2:8b:ce:c5:50"", ""lastUpdatedAt"": 1547665539542, ""@displayName"": ""2890079647""}","2019-01-17T05:50:00.000+0500",mipagent.localdomain,"rest://PRIME_CriticalAlarmsDivided
UnifiedAp!00:f2:8b:ce:c5:50",PRIME_Alarms,raw_global
