_raw,_time,host,source,sourcetype,index,,
"{""device"": ""AP06-18.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:18:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-18.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:18:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP11-18.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 10.98}",2019-01-17T06:18:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP04-14.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:18:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP10-19.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:18:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP05-14.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 8.63}",2019-01-17T06:18:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP17-08.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:18:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP17-08.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 24.71}",2019-01-17T06:18:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP10-01.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 27.84}",2019-01-17T06:18:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP01-17.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:18:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP03-15.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 15.0}",2019-01-17T06:26:01.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP10-17.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:01.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP16-13.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:01.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP01-18.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:01.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-13.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:01.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP13-09.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 14.0}",2019-01-17T06:26:01.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-01.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:01.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-01.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 2.75}",2019-01-17T06:26:01.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP15-08.site1"", ""kpi"": ""rf_channelUtilization_5GHz"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:01.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP15-08.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 42.75}",2019-01-17T06:26:01.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP18-18.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-01.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:26:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-01.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 11.76}",2019-01-17T06:26:30.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-01.site1"", ""kpi"": ""clientCount_5GHz:RAW Guest"", ""site"": ""RAW_site1"", ""value"": 1}",2019-01-17T06:26:29.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-01.site1"", ""kpi"": ""clientCount:RAW Guest"", ""site"": ""RAW_site1"", ""value"": 0}",2019-01-17T06:26:28.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-01.site1"", ""kpi"": ""clientCount"", ""site"": ""RAW_site1"", ""value"": 1}",2019-01-17T06:26:28.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP12-01.site1"", ""kpi"": ""clientCount_5GHz"", ""site"": ""RAW_site1"", ""value"": 1}",2019-01-17T06:26:28.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP03-19.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:28.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP08-15.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 15.0}",2019-01-17T06:26:28.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-15.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:27.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP07-15.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 9.8}",2019-01-17T06:26:27.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP09-16.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 5.0}",2019-01-17T06:26:26.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP09-01.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 10.0}",2019-01-17T06:26:26.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP03-09.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:25.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP03-09.site1"", ""kpi"": ""rf_channelUtilization_2.4GHz"", ""site"": ""RAW_site1"", ""value"": 7.84}",2019-01-17T06:26:25.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
"{""device"": ""AP08-13.site1"", ""kpi"": ""cpuUtilization"", ""site"": ""RAW_site1"", ""value"": 0.0}",2019-01-17T06:26:24.000+0500,10.11.132.9:8088,matrix,metric,raw_site1,,
